movie_title,key_words
The Founder,The Founder
All the Money in the World,All the Money in the World
Battle of the Sexes,Battle of the Sexes
Before I Fall,Before I Fall
"Roman J. Israel, Esq.","Roman,Israel,Esq"
Unforgettable,Unforgettable
The Beguiled,The Beguiled
The Belko Experiment,The Belko Experiment
Marshall,Marshall
Rock Dog,Rock Dog
The Lost City of Z,The Lost City of Z
The Promise,The Promise
A Cure for Wellness,A Cure for Wellness
The Space Between Us,The Space Between Us
Gold,Gold
Let There Be Light,Let There Be Light
Birth of the Dragon,Birth of the Dragon
Black Panther,Black Panther
Avengers: Infinity War,"Avengers,Infinity War"
Incredibles 2,Incredibles 2
Jurassic World: Fallen Kingdom,"Jurassic World,Fallen Kingdom"
Deadpool 2,Deadpool 2
The Grinch,The Grinch
Mission: Impossible - Fallout,"Mission,Impossible,Fallout"
Ant-Man and the Wasp,Ant-Man and the Wasp
Solo: A Star Wars Story,"Solo,A Star Wars Story"
Venom,Venom
A Star Is Born,A Star Is Born
Aquaman,Aquaman
Bohemian Rhapsody,Bohemian Rhapsody
A Quiet Place,A Quiet Place
Ralph Breaks the Internet,Ralph Breaks the Internet
Crazy Rich Asians,Crazy Rich Asians
Hotel Transylvania 3: Summer Vacation,"Hotel Transylvania 3,Summer Vacation"
Halloween,Halloween
Fantastic Beasts: The Crimes of Grindelwald,"Fantastic Beasts,The Crimes of Grindelwald"
The Meg,The Meg
Ocean's 8,"Ocean,8"
Ready Player One,Ready Player One
Mamma Mia! Here We Go Again,"Mamma Mia,Here We Go Again"
The Nun,The Nun
Peter Rabbit,Peter Rabbit
Creed II,Creed
Spider-Man: Into the Spider-Verse,"Spider-Man,Into the Spider-Verse"
Mary Poppins Returns,Mary Poppins Returns
The Equalizer 2,The Equalizer 2
Rampage,Rampage
A Wrinkle in Time,A Wrinkle in Time
Fifty Shades Freed,Fifty Shades Freed
Christopher Robin,Christopher Robin
I Can Only Imagine,I Can Only Imagine
Smallfoot,Smallfoot
Bumblebee,Bumblebee
The First Purge,The First Purge
Game Night,Game Night
Book Club,Book Club
The House with a Clock in Its Walls,The House with a Clock in Its Walls
Skyscraper,Skyscraper
Insidious: The Last Key,"Insidious,The Last Key"
Instant Family,Instant Family
The Mule,The Mule
Blockers,Blockers
Pacific Rim: Uprising,"Pacific Rim,Uprising"
Tomb Raider,Tomb Raider
Maze Runner: The Death Cure,"Maze Runner,The Death Cure"
Tag,Tag
The Nutcracker and the Four Realms,The Nutcracker and the Four Realms
A Simple Favor,A Simple Favor
Life of the Party,Life of the Party
The Predator,The Predator
Overboard,Overboard
Sicario: Day of the Soldado,"Sicario,Day of the Soldado"
I Feel Pretty,I Feel Pretty
BlacKkKlansman,BlacKkKlansman
Red Sparrow,Red Sparrow
Breaking In,Breaking In
Goosebumps 2: Haunted Halloween,"Goosebumps 2,Haunted Halloween"
12 Strong,12 Strong
Den of Thieves,Den of Thieves
First Man,First Man
Hereditary,Hereditary
Tyler Perry's Acrimony,"Tyler Perry,Acrimony"
Sherlock Gnomes,Sherlock Gnomes
Uncle Drew,Uncle Drew
Widows,Widows
Truth or Dare,Truth or Dare
Paddington 2,Paddington 2
"Love, Simon","Love,Simon"
The Commuter,The Commuter
The 15:17 to Paris,"The 15,17 to Paris"
Mile 22,Mile 22
Alpha,Alpha
Peppermint,Peppermint
Death Wish,Death Wish
The Spy Who Dumped Me,The Spy Who Dumped Me
Annihilation,Annihilation
Green Book,Green Book
Nobody's Fool,"Nobody,Fool"
Adrift,Adrift
Robin Hood,Robin Hood
Super Troopers 2,Super Troopers 2
Slender Man,Slender Man
Teen Titans GO! to the Movies,"Teen Titans GO,to the Movies"
The Hate U Give,The Hate U Give
Searching,Searching
Winchester,Winchester
The Strangers: Prey at Night,"The Strangers,Prey at Night"
White Boy Rick,White Boy Rick
Second Act,Second Act
Overlord,Overlord
Holmes & Watson,"Holmes,Watson"
Proud Mary,Proud Mary
The Happytime Murders,The Happytime Murders
SuperFly,SuperFly
Vice,Vice
Show Dogs,Show Dogs
Bad Times at the El Royale,Bad Times at the El Royale
Operation Finale,Operation Finale
"Paul, Apostle of Christ","Paul,Apostle of Christ"
Sorry to Bother You,Sorry to Bother You
Chappaquiddick,Chappaquiddick
Forever My Girl,Forever My Girl
The Favourite,The Favourite
Hunter Killer,Hunter Killer
Mortal Engines,Mortal Engines
The Girl in the Spider's Web,"The Girl in the Spider,Web"
The Possession of Hannah Grace,The Possession of Hannah Grace
Eighth Grade,Eighth Grade
The Darkest Minds,The Darkest Minds
Upgrade,Upgrade
Hell Fest,Hell Fest
Mary Queen of Scots,Mary Queen of Scots
Midnight Sun,Midnight Sun
Tully,Tully
Traffik,Traffik
Unfriended: Dark Web,"Unfriended,Dark Web"
Welcome to Marwen,Welcome to Marwen
Early Man,Early Man
The Death of Stalin,The Death of Stalin
Avengers: Endgame,"Avengers,Endgame"
The Lion King,The Lion King
Toy Story 4,Toy Story 4
Frozen II,Frozen
Captain Marvel,Captain Marvel
Spider-Man: Far from Home,"Spider-Man,Far from Home"
Aladdin,Aladdin
Joker,Joker
It Chapter Two,It Chapter Two
Jumanji: The Next Level,"Jumanji,The Next Level"
Us,Us
Fast & Furious Presents: Hobbs & Shaw,"Fast,Furious Presents,Hobbs,Shaw"
John Wick: Chapter 3 - Parabellum,"John Wick,3,Parabellum"
How to Train Your Dragon: The Hidden World,"How to Train Your Dragon,The Hidden World"
The Secret Life of Pets 2,The Secret Life of Pets 2
Pokémon Detective Pikachu,"Pok,mon Detective Pikachu"
Once Upon a Time... in Hollywood,"Once Upon a Time,in Hollywood"
Shazam!,Shazam
Knives Out,Knives Out
Dumbo,Dumbo
Maleficent: Mistress of Evil,"Maleficent,Mistress of Evil"
Glass,Glass
Godzilla: King of the Monsters,"Godzilla,King of the Monsters"
Ford v Ferrari,Ford v Ferrari
The Lego Movie 2: The Second Part,"The Lego,2,The Second Part"
Hustlers,Hustlers
The Addams Family,The Addams Family
Downton Abbey,Downton Abbey
Rocketman,Rocketman
Alita: Battle Angel,"Alita,Battle Angel"
Good Boys,Good Boys
Men in Black: International,"Men in Black,International"
Annabelle Comes Home,Annabelle Comes Home
Yesterday,Yesterday
Zombieland: Double Tap,"Zombieland,Double Tap"
Angel Has Fallen,Angel Has Fallen
Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark
X-Men: Dark Phoenix,"X-Men,Dark Phoenix"
Terminator: Dark Fate,"Terminator,Dark Fate"
Abominable,Abominable
Dora and the Lost City of Gold,Dora and the Lost City of Gold
Escape Room,Escape Room
A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood
Midway,Midway
The Curse of la Llorona,The Curse of la Llorona
Pet Sematary,Pet Sematary
What Men Want,What Men Want
Ad Astra,Ad Astra
Isn't It Romantic,"Isn,It Romantic"
Gemini Man,Gemini Man
Ma,Ma
Five Feet Apart,Five Feet Apart
Wonder Park,Wonder Park
Rambo: Last Blood,"Rambo,Last Blood"
Playing with Fire,Playing with Fire
Harriet,Harriet
A Dog's Way Home,"A Dog,Way Home"
The Angry Birds Movie 2,"The Angry Birds,2"
Little,Little
Queen & Slim,"Queen,Slim"
Breakthrough,Breakthrough
Crawl,Crawl
The Intruder,The Intruder
The Hustle,The Hustle
Last Christmas,Last Christmas
Overcomer,Overcomer
Cold Pursuit,Cold Pursuit
Doctor Sleep,Doctor Sleep
Dragon Ball Super: Broly,"Dragon Ball Super,Broly"
Long Shot,Long Shot
Spies in Disguise,Spies in Disguise
Child's Play,"Child,Play"
Ready or Not,Ready or Not
Happy Death Day 2U,Happy Death Day 2U
21 Bridges,21 Bridges
Midsommar,Midsommar
The Art of Racing in the Rain,The Art of Racing in the Rain
Countdown,Countdown
Uncut Gems,Uncut Gems
Fighting with My Family,Fighting with My Family
A Dog's Journey,"A Dog,Journey"
Booksmart,Booksmart
Parasite,Parasite
Stuber,Stuber
47 Meters Down: Uncaged,"47 Meters Down,Uncaged"
Black and Blue,Black and Blue
Hellboy,Hellboy
Shaft,Shaft
Jojo Rabbit,Jojo Rabbit
The Peanut Butter Falcon,The Peanut Butter Falcon
UglyDolls,UglyDolls
Cats,Cats
Unplanned,Unplanned
Bombshell,Bombshell
Richard Jewell,Richard Jewell
Charlie's Angels,"Charlie,Angels"
Brightburn,Brightburn
The Good Liar,The Good Liar
The Kid Who Would Be King,The Kid Who Would Be King
Missing Link,Missing Link
Late Night,Late Night
Miss Bala,Miss Bala
The Prodigy,The Prodigy
Poms,Poms
After,After
Blinded by the Light,Blinded by the Light
The Best of Enemies,The Best of Enemies
Black Christmas,Black Christmas
Motherless Brooklyn,Motherless Brooklyn
"Where'd You Go, Bernadette","Where,You Go,Bernadette"
Serenity,Serenity
Jexi,Jexi
Captive State,Captive State
